# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
   15849 7.164e-04 8.310e-04 7.476e-04 2.420e-05
   19953 9.238e-04 1.081e-03 9.668e-04 3.292e-05
   25119 1.191e-03 1.365e-03 1.240e-03 3.521e-05
   31623 1.525e-03 1.698e-03 1.590e-03 3.634e-05
   39811 1.940e-03 2.187e-03 2.026e-03 4.814e-05
   50119 2.537e-03 2.799e-03 2.629e-03 5.109e-05
   63096 3.274e-03 3.653e-03 3.382e-03 7.105e-05
   79433 4.204e-03 4.622e-03 4.336e-03 7.543e-05
  100000 5.393e-03 6.027e-03 5.574e-03 1.095e-04
  125893 6.987e-03 7.557e-03 7.191e-03 1.164e-04
  158489 9.107e-03 1.035e-02 9.442e-03 2.431e-04
  199526 1.167e-02 1.342e-02 1.214e-02 3.471e-04
  251189 1.471e-02 1.602e-02 1.513e-02 2.500e-04
  316228 1.893e-02 2.079e-02 1.948e-02 3.757e-04
  398107 2.432e-02 2.585e-02 2.498e-02 3.472e-04
  501187 3.103e-02 3.244e-02 3.166e-02 3.124e-04
  630957 4.020e-02 4.410e-02 4.147e-02 8.480e-04
  794328 5.254e-02 5.701e-02 5.386e-02 9.283e-04
 1000000 6.717e-02 7.284e-02 6.917e-02 1.299e-03
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.680e-07 5.070e-07 4.845e-07 8.974e-09
      13 4.970e-07 5.530e-07 5.149e-07 9.901e-09
      16 5.280e-07 7.270e-07 5.675e-07 4.775e-08
      20 5.660e-07 6.230e-07 5.890e-07 1.242e-08
      25 6.220e-07 6.960e-07 6.527e-07 1.605e-08
      32 7.250e-07 1.197e-06 8.623e-07 1.232e-07
      40 9.770e-07 1.797e-06 1.282e-06 1.523e-07
      50 1.356e-06 1.889e-06 1.554e-06 1.105e-07
      63 1.315e-06 2.007e-06 1.494e-06 2.009e-07
      79 1.789e-06 2.885e-06 2.235e-06 3.195e-07
     100 2.267e-06 2.486e-06 2.370e-06 5.223e-08
     126 2.860e-06 4.482e-06 3.294e-06 4.773e-07
     158 3.857e-06 5.526e-06 4.233e-06 5.058e-07
     200 5.142e-06 7.330e-06 5.727e-06 6.808e-07
     251 6.505e-06 9.112e-06 6.807e-06 4.026e-07
